object_name,kepler_name,disposition,koi_pdisposition,orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_radius,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,impact_parameter,transit_duration,koi_ingress,koi_dor,source,tid,toipfx,st_tmag,st_logg,st_dist,toi_created,ra,dec,pl_name,pl_letter,pl_eqt,st_mass
K00793.01,,FALSE POSITIVE,FALSE POSITIVE,10.31872301,871.7,28.59,876.0,139.26,5927.0,1.06,1.05,4.409,1.0,130.0,9.854863,34.775192,1.215,3.836,,5.92,Kepler,,,,,,,,,,,,
K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,2.539183147,382.1,2.06,1332.0,743.09,5519.0,1.062,0.921,4.35,1.0,528.0,4.680462,34.037075,0.238,2.4282,,7.93,Kepler,,,,,,,,,,,,
K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,6.770300385,1304.0,2.77,812.0,102.87,5653.0,0.679,0.767,4.656,1.0,200.0,6.5691905,43.840405,0.838,2.0844,,15.21,Kepler,,,,,,,,,,,,
K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.444291966,10967.4,27.51,1836.0,2706.26,5255.0,0.636,0.709,4.678,1.0,1466.0,40.64358,277.1132,1.258,2.0792,,1.641,Kepler,,,,,,,,,,,,
K00797.01,,CANDIDATE,CANDIDATE,10.181584004,5741.1,7.73,812.0,102.91,5988.0,0.836,0.885,4.541,1.0,129.0,27.099031,173.09894,0.92,3.5089,,12.776,Kepler,,,,,,,,,,,,
K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,20.06036336,1494.7,1.96,361.0,4.0,3950.0,0.493,0.502,4.754,4.0,59.0,7.1802754,27.241827,0.556,3.3203,,40.4,Kepler,,,,,,,,,,,,
K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,46.1842039,1394.7,1.83,273.0,1.32,3950.0,0.493,0.502,4.754,4.0,25.0,6.2605453,18.020908,0.013,4.758,,76.67,Kepler,,,,,,,,,,,,
K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.9800854,104.0,1.31,649.0,41.94,5854.0,1.012,0.951,4.406,4.0,56.0,4.1784496,10.87813,0.95,5.351,,11.98,Kepler,,,,,,,,,,,,
K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,7.82502168,520.8,1.2,494.0,14.05,3950.0,0.493,0.502,4.754,4.0,154.0,3.8379083,12.582854,0.708,2.186,,20.2,Kepler,,,,,,,,,,,,
K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,3.895936525,8544.8,7.34,1005.0,241.62,5557.0,0.774,0.866,4.592,1.0,275.0,35.58241,375.5263,0.524,2.3111,,12.29,Kepler,,,,,,,,,,,,
K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,22.36646466,986.8,2.32,536.0,19.45,5395.0,0.734,0.821,4.615,1.0,48.0,6.2514634,25.599396,0.4,5.228,,31.0,Kepler,,,,,,,,,,,,
K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.625522174,7969.0,9.73,1579.0,1467.41,5539.0,1.106,0.935,4.322,1.0,657.0,43.135384,712.5235,0.076,2.38963,,5.6364,Kepler,,,,,,,,,,,,
K00802.01,,CANDIDATE,CANDIDATE,19.620346923,21724.6,13.6,643.0,40.39,5710.0,0.905,0.928,4.492,1.0,52.0,73.60154,353.8584,0.458,2.0038,,77.9,Kepler,,,,,,,,,,,,
K00803.01,,FALSE POSITIVE,FALSE POSITIVE,7.544039,322.6,17.47,838.0,116.46,5657.0,0.824,0.919,4.567,1.0,143.0,4.5001316,12.162734,1.175,6.222,,2.28,Kepler,,,,,,,,,,,,
K00804.01,Kepler-1727 b,CONFIRMED,CANDIDATE,9.02930689,1019.8,2.57,757.0,77.75,5349.0,0.82,0.824,4.526,1.0,146.0,7.610865,47.37303,0.024,3.1449,,22.57,Kepler,,,,,,,,,,,,
K00805.01,,FALSE POSITIVE,FALSE POSITIVE,10.328035714,16917.7,13.28,843.0,119.31,5627.0,1.024,0.874,4.359,1.0,114.0,76.945915,589.42316,0.281,7.7915,,10.988,Kepler,,,,,,,,,,,,
K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,143.2063047,10565.7,8.9,308.0,2.14,5485.0,0.867,0.986,4.556,5.0,9.0,45.13809,115.57215,0.379,8.9302,,125.8,Kepler,,,,,,,,,,,,
K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.164876,55.8,0.79,1021.0,256.35,5854.0,1.012,0.951,4.406,4.0,207.0,2.6950479,11.552998,0.646,3.262,,11.19,Kepler,,,,,,,,,,,,
K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,60.32494216,20280.4,12.19,411.0,6.77,5485.0,0.867,0.986,4.556,5.0,22.0,88.82677,323.38303,0.224,6.6188,,77.04,Kepler,,,,,,,,,,,,
K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,29.1598615,488.0,1.91,524.0,17.85,5485.0,0.867,0.986,4.556,5.0,,,,0.3619,4.803,,44.2,Kepler,,,,,,,,,,,,
K00807.01,,FALSE POSITIVE,FALSE POSITIVE,1.540397253,816.1,25.69,1470.0,1105.68,5663.0,0.915,1.034,4.53,1.0,842.0,7.5703845,32.004185,1.225,2.1541,,1.971,Kepler,,,,,,,,,,,,
K00808.01,,FALSE POSITIVE,FALSE POSITIVE,2.99025443,589.2,1.7,918.0,168.45,4667.0,0.731,0.737,4.578,1.0,454.0,4.439786,35.481506,0.014,5.414,,4.349,Kepler,,,,,,,,,,,,
K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.594745374,15044.5,11.3,1539.0,1329.42,5934.0,0.893,0.901,4.491,1.0,762.0,62.03516,1015.921,0.514,1.9604,,6.203,Kepler,,,,,,,,,,,,
