pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec
K2-32 b,b,8.99218,,5.38,,,0.87,0.87,5315.0,4.43,252.426008,-19.5430504
K2-32 d,d,31.71922,,3.75,,,0.87,0.87,5315.0,4.43,252.426008,-19.5430504
K2-3 b,b,10.05403,,2.14,,,0.561,0.601,3896.0,4.72,172.3353708,-1.4551364
K2-3 c,c,24.6454,,1.72,,,0.561,0.601,3896.0,4.72,172.3353708,-1.4551364
K2-85 b,b,0.684575,,1.4,,,0.71,,4462.0,4.17,59.464829,18.4649505
K2-24 c,c,42.36342,,8.1,560.0,7.058,1.21,1.12,5743.0,4.29,242.5734559,-24.9906029
K2-37 d,d,14.09189,,2.73,663.0,2.967,0.85,0.9,5413.0,4.52,243.4509662,-24.7870527
K2-37 b,b,4.44117,,1.61,974.0,2.706,0.85,0.9,5413.0,4.52,243.4509662,-24.7870527
K2-32 c,c,20.65614,,3.48,583.0,5.024,0.87,0.87,5315.0,4.43,252.426008,-19.5430504
K2-3 d,d,44.55983,,1.51,282.0,4.325,0.56,0.6,3896.0,4.72,172.3353708,-1.4551364
HIP 41378 d,d,156.0,,3.96,,12.71,1.4,1.15,6199.0,4.18,126.6158279,10.0803708
HIP 41378 f,f,324.0,,10.2,,18.998,1.4,1.15,6199.0,4.18,126.6158279,10.0803708
K2-105 b,b,8.267,0.1053,,,3.216,0.915405,0.941,5411.15,4.48843,125.4202985,13.4975122
K2-108 b,b,4.734,0.0778,,,3.40704,1.75896,0.964,5496.0,3.93163,123.3818484,16.419516
K2-27 b,b,6.771315,,5.36,,2.802,1.03,1.01,5797.0,4.42,171.5151874,1.2306237
K2-36 c,c,5.34072,,2.65,,1.153,0.75,0.81,4953.0,4.598,169.4490102,3.8665038
K2-24 b,b,20.88526,,7.07,,5.498,1.51,1.2,5717.0,4.157,242.5734559,-24.9906029
K2-61 b,b,2.57302,,2.48,,2.33,1.36,1.21,6293.0,4.25,339.6748444,-13.5600447
K2-37 c,c,6.42973,,2.65,,2.908,0.87,0.9,5512.0,4.512,243.4509662,-24.7870527
K2-37 d,d,14.0919,,2.59,,2.65,0.87,0.9,5512.0,4.512,243.4509662,-24.7870527
K2-31 b,b,1.2578542,,34.0,,0.809,0.9,0.97,5465.0,4.523,245.4405531,-23.548273
K2-32 b,b,8.99213,,5.62,,3.486,0.92,0.88,5428.0,4.449,252.426008,-19.5430504
K2-66 b,b,5.06965,,2.49,,4.4,1.71,1.16,5958.0,4.035,331.5266563,-10.7115362
K2-79 b,b,10.99573,,3.69,,4.42,1.28,1.06,5926.0,4.249,55.2559307,13.5191871
WASP-47 b,b,4.159221,,12.3,,3.5524,1.1,1.003,5950.0,4.32,331.203092,-12.019067
K2-399 b,b,0.76001901813,0.18655887,7.29025894,2529.02,0.638738,1.65999,,5690.2,4.0,158.0734448,2.2378452
