toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1043.01,90448944,FP,1043,9.5719,1.52,6902.0,4.25,208.055,2019-07-24 18:44:12,128.302319,-52.714202
1044.01,463402815,PC,1044,10.0031,,5215.2,,494.689,2019-07-24 18:44:12,153.811023,-58.766393
1045.01,54044474,FP,1045,9.6306,1.9,7013.8,4.21,300.696,2019-07-24 18:44:12,159.887704,-32.51188
1046.01,309787037,FP,1046,10.0119,1.75,6762.0,4.11,301.298,2019-07-24 18:44:12,126.419468,-60.907514
1047.01,370745311,FP,1047,10.2355,0.93,5622.0,4.5,134.926,2019-07-24 18:44:12,144.581535,-67.505097
1048.01,384549882,FP,1048,8.802,2.52,11892.0,4.14,440.426,2019-07-24 18:44:12,136.527702,-54.903922
1126.01,405862830,FP,1126,10.3579,0.73,5034.0,4.64,97.8115,2019-08-22 14:42:11,279.062469,-43.620606
1127.01,269450900,FP,1127,7.3163,,8268.5,3.93,177.741,2019-08-22 14:42:11,292.195297,-36.00026
1128.01,425721385,FP,1128,9.7298,1.63,6209.0,4.09,222.529,2019-08-22 14:42:11,289.761799,-43.074223
1129.01,91576611,FP,1129,8.7823,2.32,7101.9,3.91,247.414,2019-08-22 14:42:10,284.157959,-29.398357
113.01,97409519,KP,113,12.1893,1.02,6050.0,4.45061,448.637,2018-09-05 18:49:20,332.714337,-30.749719
1130.01,254113311,CP,1130,10.1429,0.74,4236.0,4.52,58.2609,2019-08-22 14:42:11,286.376004,-41.43764
1130.02,254113311,CP,1130,10.1429,0.741921,4236.0,4.52,58.2609,2019-09-03 17:42:04,286.376004,-41.43764
1131.01,198213332,PC,1131,9.2872,2.39803,5579.0,3.67,222.74,2019-08-27 16:09:24,248.433545,61.718334
1132.01,267489265,FP,1132,9.2293,1.86,7851.0,4.17,286.668,2019-08-27 16:09:23,298.781281,54.781445
1133.01,69997672,FP,1133,9.11458,2.2,6244.0,3.84,233.369,2019-09-03 15:31:11,294.824079,31.958037
1134.01,122220263,FP,1134,9.03609,1.65,6277.0,4.09,170.732,2019-09-03 15:31:11,290.02096,36.637774
1135.01,154872375,CP,1135,9.02855,1.15,5962.7,4.38,114.048,2019-08-27 16:09:24,193.39637,85.129495
1136.01,142276270,CP,1136,8.9361,0.98,5729.0,4.47,84.5362,2019-08-27 12:09:00,192.184898,64.855276
1136.02,142276270,CP,1136,8.9361,0.98,5729.0,4.47,84.5362,2019-10-17 00:30:12,192.184898,64.855276
1136.03,142276270,CP,1136,8.9361,0.98,5729.0,4.47,84.5362,2019-11-15 23:57:09,192.184898,64.855276
1136.04,142276270,CP,1136,8.9361,0.977727,5729.0,4.47,84.5362,2020-07-16 04:56:45,192.184898,64.855276
1137.01,89389197,PC,1137,9.00558,6.3070302,4919.6,,419.435,2019-09-03 15:31:11,301.17768,30.409951
