flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
9558.488,13.042423,0.0015596371,165529,948.7463114251331,870.6350339313624,9063.614,12.046062,1302.9156,4.720365,9558.488,13.042423,0,,,,,948.7463114251331,0.0011155419,870.6350339313624,0.0011382581,0.021062601,-0.028429467
9550.406,13.042143,0.0015596161,165530,948.744337349575,870.6299024120883,9056.082,12.045804,1295.7349,4.7181373,9550.406,13.042143,0,,,,,948.744337349575,0.0011187707,870.6299024120883,0.001139962,0.018125653,-0.03560625
9549.436,13.041894,0.0015595951,165531,948.7482338817297,870.6289536889188,9059.265,12.045574,1298.6976,4.708506,9549.436,13.041894,0,,,,,948.7482338817297,0.0011160619,870.6289536889188,0.0011389587,0.023871915,-0.035616502
9553.964,13.033495,0.0015595742,165532,948.7506486381072,870.6288868678146,9060.403,12.037817,1293.3494,4.7057266,9553.964,13.033495,0,,,,,948.7506486381072,0.0011148406,870.6288868678146,0.001138147,0.023941299,-0.03468629
9552.355,13.046699,0.0015595532,165533,948.7476139036837,870.632695225136,9062.327,12.050013,1298.531,4.71595,9552.355,13.046699,0,,,,,948.7476139036837,0.0011155776,870.632695225136,0.0011378367,0.022771236,-0.029912384
9559.191,13.041867,0.0015595322,165534,948.7458939349146,870.6247253119544,9069.908,12.045548,1301.1338,4.715275,9559.191,13.041867,0,,,,,948.7458939349146,0.0011163636,870.6247253119544,0.0011367039,0.017562699,-0.040783748
9552.401,13.04081,0.0015595113,165535,948.7469215480922,870.625002896417,9063.057,12.044573,1290.2186,4.7071323,9552.401,13.04081,0,,,,,948.7469215480922,0.0011148476,870.625002896417,0.0011379303,0.023818502,-0.038900178
9552.843,13.0358515,0.0015594903,165536,948.7455345755553,870.6254176186367,9059.343,12.039993,1297.7585,4.712695,9552.843,13.0358515,0,,,,,948.7455345755553,0.0011161768,870.6254176186367,0.0011383316,0.02078927,-0.039474253
9557.924,13.051487,0.0015594694,165537,948.7485958774646,870.6322998954295,9067.807,12.054435,1298.3386,4.72828,9557.924,13.051487,0,,,,,948.7485958774646,0.0011152887,870.6322998954295,0.0011379692,0.024058044,-0.029517064
9550.79,13.026813,0.0015594484,165538,948.7482310241005,870.6334482954725,9058.579,12.031645,1290.6572,4.7045445,9550.79,13.026813,0,,,,,948.7482310241005,0.0011142065,870.6334482954725,0.0011384871,0.023507414,-0.03276128
9564.227,13.047098,0.0015594274,165539,948.7482013667988,870.6249649000684,9074.375,12.050381,1291.7507,4.717983,9564.227,13.047098,0,,,,,948.7482013667988,0.0011157654,870.6249649000684,0.0011376129,0.020513363,-0.04139142
9571.897,13.04777,0.0015594064,165540,948.7477959714383,870.6303226644642,9081.409,12.051002,1298.2474,4.7146053,9571.897,13.04777,0,,,,,948.7477959714383,0.0011133783,870.6303226644642,0.001136369,0.023474323,-0.03490712
9560.1045,13.042987,0.0015593854,165541,948.7506116143262,870.6301155875042,9063.212,12.046584,1299.5068,4.7245526,9560.1045,13.042987,0,,,,,948.7506116143262,0.0011141764,870.6301155875042,0.0011393146,0.023308337,-0.03374272
