kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_impact,koi_duration,koi_ingress,koi_dor,koi_period_log,koi_prad_category,koi_steff_category,stellar_density
K01691.01,,FALSE POSITIVE,FALSE POSITIVE,35.14578122,6789.4,32.5,480.0,12.6,5437.0,0.783,0.801,4.554,1,30.0,22.763218,88.837845,1.276,2.253,,62.8,3.587560239719868,Jupiter-size,G-dwarf,1.6685807537684194
K01694.01,,FALSE POSITIVE,FALSE POSITIVE,3.690317047,465.5,20.23,1280.0,634.09,6120.0,1.054,1.003,4.395,1,363.0,4.3213487,35.082287,1.151,1.3784,,4.99,1.5455001808130266,Jupiter-size,F-dwarf,0.8566020322200835
K01846.01,Kepler-976 b,CONFIRMED,CANDIDATE,105.9566815,2286.4,3.79,324.0,2.59,5327.0,0.8,0.891,4.581,1,13.0,14.776184,35.39178,0.322,6.9988,,114.8,4.672423906695331,Sub-Neptune,G-dwarf,1.7402343749999996
K01966.01,,FALSE POSITIVE,FALSE POSITIVE,2.95600563,76.1,0.81,1211.0,509.55,5668.0,0.916,0.908,4.472,1,363.0,5.2905755,28.60021,0.408,2.6717,,7.82,1.3752348369141547,Sub-Earth,G-dwarf,1.181406694601852
K01796.01,,FALSE POSITIVE,FALSE POSITIVE,11.805707539,2052.1,18.48,1153.0,417.85,6065.0,1.891,1.006,3.888,1,114.0,42.33136,274.67276,1.015,2.0494,,17.48,2.5498909730254224,Jupiter-size,F-dwarf,0.1487727511489456
K07851.01,,FALSE POSITIVE,FALSE POSITIVE,25.3710555,78.6,1.43,779.0,87.17,6029.0,1.494,1.091,4.127,1,53.0,3.7305758,7.3321085,0.742,3.739,,35.5,3.2722670261094713,Earth-size,F-dwarf,0.3271696113934894
K01957.01,,CANDIDATE,CANDIDATE,1.38680229,242.3,29.33,2530.0,9703.01,6823.0,2.037,1.66,4.04,2,766.0,5.7645755,64.17891,1.115,1.7065,,1.646,0.869954516108936,Jupiter-size,F-dwarf,0.19639706849581537
K01827.01,,FALSE POSITIVE,FALSE POSITIVE,8.58966893,429.6,155.18,4057.850000000004,65691.90670000119,3837.0,12.816970000000065,1.585,2.56126,1,122.0,7.8722014,49.102997,0.012,6.962,,9.61,2.2606863658802476,Jupiter-size,K-dwarf,0.0007527888245497666
K01823.01,,FALSE POSITIVE,FALSE POSITIVE,4.468456599,906.7,24.81,1081.0,321.94,5869.0,0.942,1.054,4.513,2,233.0,10.271428,56.467857,1.207,1.4195,,7.09,1.698996419215978,Jupiter-size,G-dwarf,1.2609210718822539
K02500.01,,FALSE POSITIVE,FALSE POSITIVE,0.933754669,89.3,1.48,2475.0,8881.31,6443.0,1.457,1.083,4.146,1,1441.0,3.585692,21.895151,0.728,4.048,,1.491,0.659463537381862,Earth-size,F-dwarf,0.3501465094631783
K02502.01,,FALSE POSITIVE,FALSE POSITIVE,86.79876649,421.1,2.39,878.0,141.6,5767.0,1.0,0.974,4.438,1,143.0,5.5897505,19.2544115,0.537,2.99,,15.46,4.475047451453543,Sub-Neptune,G-dwarf,0.974
