orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_density,disposition
23.65369415,3341.8,7.89,731.0,67.65,5739.0,0.4085264557719165,CONFIRMED
13.23352214,504.6,3.06,888.0,146.67,5739.0,0.4085264557719165,CONFIRMED
6.15560285,285.0,2.32,1146.0,406.94,5739.0,0.4085264557719165,CONFIRMED
2.090811305,115.9,1.62,1642.0,1718.04,5739.0,0.4085264557719165,CONFIRMED
3.180027898,120.3,1.53,1458.0,1066.86,5847.0,0.403878861585949,CONFIRMED
50.4467417,370.3,2.67,568.0,24.64,5739.0,0.4085264557719165,CONFIRMED
11.76307164,1037.3,2.35,616.0,33.99,4959.0,1.9649083750032768,CONFIRMED
56.2279271,862.7,2.37,366.0,4.22,4959.0,1.9649083750032768,CONFIRMED
2.384052875,1268.1,17.06,1010.0,244.87,4794.0,1.982744024892745,FALSE POSITIVE
7.953547,875.4,2.25,696.0,55.37,4768.0,1.6055705844695136,CONFIRMED
4.14451656,391.8,1.48,864.0,132.08,4768.0,1.6055705844695136,CONFIRMED
4.859386384,6044.3,38.33,1114.0,364.23,6072.0,1.0887256761679087,FALSE POSITIVE
10.526294577,9768.0,8.24,713.0,61.16,5386.0,1.644350105182358,CONFIRMED
4.583520948,3812.1,5.39,1038.0,274.98,5815.0,1.4424941487033536,CONFIRMED
3.76181843,510.6,2.66,1121.0,372.62,5653.0,1.139620674965056,CONFIRMED
8.20396958,1024.4,3.01,742.0,71.5,5015.0,1.392930714440942,CONFIRMED
14.49645186,647.5,3.01,613.0,33.48,5015.0,1.392930714440942,CONFIRMED
6.54626149,655.9,2.19,810.0,101.78,5251.0,1.698027881628819,CONFIRMED
12.71809866,1149.4,2.31,562.0,23.6,4702.0,2.0754030736335416,CONFIRMED
36.06588163,1563.8,2.64,397.0,5.88,4702.0,2.0754030736335416,CONFIRMED
4.190425659,2877.4,6.21,1234.0,547.9,6073.0,0.7954119843383175,CONFIRMED
3.709870784,2020.3,4.35,1151.0,415.1,5727.0,1.082911288702576,CONFIRMED
16.3297527,1187.5,3.75,727.0,66.08,5878.0,1.0285960058797543,CONFIRMED
27.807566216,25391.1,13.84,554.0,22.24,5862.0,1.788163135259812,CONFIRMED
80.8723469,3604.6,7.59,452.0,9.88,5510.0,0.4911950463051257,CONFIRMED
3.166465862,4357.2,26.82,954.0,196.31,4968.0,1.9489061913035317,FALSE POSITIVE
24.99324319,269.6,2.29,712.0,60.88,5718.0,0.4206937526894113,CONFIRMED
10.35533116,750.6,2.47,777.0,86.22,5501.0,1.151727297779721,CONFIRMED
16.08518937,1442.4,3.68,613.0,33.43,5239.0,1.472780245842015,CONFIRMED
235.9986399,20714.6,10.59,214.0,0.49,4245.0,2.348432708374133,CANDIDATE
7.49018305,1123.6,2.56,753.0,76.06,5103.0,1.6884011455171952,CONFIRMED
36.2761238,1572.6,3.03,445.0,9.29,5103.0,1.6884011455171952,CONFIRMED
17.46087931,812.4,2.32,568.0,24.6,5103.0,1.6884011455171952,CONFIRMED
56.0560754,1626.0,1.94,233.0,0.69,3593.0,4.343555386658755,CONFIRMED
41.408316686,22838.9,11.38,453.0,9.93,5522.0,1.885648502696848,CONFIRMED
39.74893077,15178.9,14.21,552.0,21.87,6122.0,1.1620361205387726,CANDIDATE
5.715425977,908.1,2.47,850.0,123.03,5237.0,1.644900346862106,CONFIRMED
49.18394185,1646.2,8.2,669.0,47.4,5626.0,0.1432727438992592,CONFIRMED
20.0261412,421.2,2.28,559.0,23.14,5237.0,1.644900346862106,CONFIRMED
13.61014819,5732.9,19.02,733.0,68.29,5697.0,1.1639050994589704,CANDIDATE
10.44331991,1159.8,2.66,667.0,46.94,4947.0,1.4907445660014922,FALSE POSITIVE
2.237489571,315.8,1.41,1160.0,427.17,5265.0,1.7123255450746178,CONFIRMED
5.851520671,33003.6,14.62,901.0,155.89,5532.0,1.5355038982165952,FALSE POSITIVE
3.167893418,781.2,2.62,1221.0,526.23,5895.0,1.2352754206678676,CONFIRMED
4.311780262,1154.0,3.11,1038.0,274.84,5527.0,1.2001034654891911,CONFIRMED
20.0504494,840.9,2.69,622.0,35.44,5527.0,1.2001034654891911,CONFIRMED
9.76734503,569.1,2.67,791.0,92.46,5527.0,1.2001034654891911,CONFIRMED
119.0207044,7430.5,8.98,366.0,4.25,5453.0,0.7547356775062805,CANDIDATE
190.3200468,1141.7,7.78,426.0,7.8,5626.0,0.1432727438992592,CONFIRMED
2.861159894,1014.3,4.37,1355.0,797.1,6126.0,1.0241162839279945,FALSE POSITIVE
26.44439337,1843.5,3.91,562.0,23.54,5427.0,1.141232029872031,CONFIRMED
51.53997972,3644.3,5.51,450.0,9.67,5427.0,1.141232029872031,CONFIRMED
5.902245782,702.3,2.43,926.0,173.74,5427.0,1.141232029872031,CONFIRMED
2.382951591,391.6,1.86,1253.0,583.01,5427.0,1.141232029872031,CONFIRMED
21.02250608,1772.5,3.07,521.0,17.48,5067.0,1.8702222222222225,CONFIRMED
3.219814777,488.2,1.69,998.0,234.93,5103.0,1.6884011455171952,CONFIRMED
5.912273234,961.4,1.73,585.0,27.72,4072.0,3.164266467955053,CONFIRMED
8.98581901,881.3,1.65,509.0,15.9,4072.0,3.164266467955053,CONFIRMED
12.940668656,42450.0,22.94,723.0,64.64,5875.0,1.6903532403691048,CANDIDATE
20.5452375,218.5,2.41,742.0,71.57,5670.0,0.463979047549991,FALSE POSITIVE
33.60123371,7425.9,8.46,495.0,14.22,5149.0,1.096528034193772,CONFIRMED
6.76652928,450.7,1.97,845.0,120.48,5149.0,1.096528034193772,CONFIRMED
4.347288783,451.6,2.36,1174.0,449.79,5754.0,0.717892447205637,CONFIRMED
4.601811819,755.9,2.35,896.0,152.91,4986.0,1.3719496811693614,CONFIRMED
11.18719905,353.6,1.55,667.0,46.65,4986.0,1.3719496811693614,CONFIRMED
4.220965778,2260.0,2.62,595.0,29.68,3837.0,3.936654225850325,CONFIRMED
