toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1134.01,122220263.0,FP,1134.0,9.03609,1.65,6277.0,4.09,170.732,2019-09-03 15:31:11,290.02096,36.637774
1135.01,154872375.0,CP,1135.0,9.02855,1.15,5962.7,4.38,114.048,2019-08-27 16:09:24,193.39637,82.16685803999997
1136.01,142276270.0,CP,1136.0,8.9361,0.98,5729.0,4.47,84.5362,2019-08-27 12:09:00,192.184898,64.855276
1136.02,142276270.0,CP,1136.0,8.9361,0.98,5729.0,4.47,84.5362,2019-10-17 00:30:12,192.184898,64.855276
1136.03,142276270.0,CP,1136.0,8.9361,0.98,5729.0,4.47,84.5362,2019-11-15 23:57:09,192.184898,64.855276
1136.04,142276270.0,CP,1136.0,8.9361,0.977727,5729.0,4.47,84.5362,2020-07-16 04:56:45,192.184898,64.855276
1137.01,89389197.0,PC,1137.0,9.00558,4.336771595999974,4919.6,4.33,419.435,2019-09-03 15:31:11,301.17768,30.409951
1138.01,110428269.0,FP,1138.0,8.90601,2.59,9598.49,4.02,395.12,2019-09-03 15:31:11,291.463084,25.189437
1079.01,379240073.0,PC,1079.0,13.1284,1.7234,6519.0,4.22068,1179.27,2019-08-16 20:20:49,283.119492,-55.387928
173.0102,289793076.0,KP,173.0,13.163,0.809868,5523.0,4.52192,421.855,2018-09-05 18:49:20,316.96148,-26.09672
1080.01,161032923.0,PC,1080.0,12.7067,0.28157742,3296.0,4.96636,25.559,2019-08-16 20:20:43,276.368325,-52.214573
1081.01,253728991.0,PC,1081.0,11.5247,1.23975,6027.0,4.29978,354.05,2019-08-16 20:20:44,282.140409,-40.11177
1082.01,261108236.0,PC,1082.0,11.8835,0.649613,4310.0,4.57345,100.248,2019-08-16 20:20:45,83.275809,-80.47376836
1083.01,322270620.0,PC,1083.0,12.0936,0.491323,3614.0,4.81257,68.9109,2019-08-16 20:20:47,296.822194,-80.47376836
